,,,5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理会社,客先名称,運搬業者,品名,,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),31(日),合計,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,春日部事業所,,雑古紙・プレス,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新座事業所,,袋茶,引取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,焼津事業所,,上台紙,引取,,,,,,,,,,,,,,,"11,700",,,,,,,,,,,,,,,,,"11,700",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,事業所間横持ち合計,,,,0,0,0,0,0,0,0,0,0,0,0,"12,650","14,100",0,"11,700",0,0,0,"25,760",0,0,0,0,0,"12,460","25,010",0,0,0,0,0,"101,680",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,入荷総合計（入荷+横持ち,,,,"66,700","32,660","9,750","20,370","25,520","36,880","50,050","81,950","19,150","5,910","62,810","77,970","100,180","67,740","56,080","18,510","7,580","64,160","100,120","66,400","53,200","63,140","17,940","6,240","58,090","88,460","88,870","75,640","60,080","4,830","5,520","1,505,490",,入荷+横持,,"1,505,490"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＜出荷＞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,①段ボール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,①段ボール,,
,1.輸出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.輸出,,
,東方物産,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,東方物産,古段,0
,東方物産,E段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,東方物産,E段,0
,阪和興業,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,阪和興業,古段,0
,丸紅,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,丸紅,古段,0
,日商岩井,古段,,,,"23,180",,,,"19,750","84,500",,,,,,,"20,150",,,,,,,"19,960",,,,,,"38,910",,,,,"206,450",,日商岩井,古段,"206,450"
,VIPA,古段,,,"20,380",,,,,,,,,,,,,,,,,,,,,,,,,,,"40,610",,,,"60,990",,VIPA,古段,"60,990"
,VIPA,E段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,VIPA,E段,0
,KPP,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,KPP,古段,0
,三邦,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,三邦,古段,0
,リニア,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,リニア,古段,0
,JP,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,JP,古段,0
,山發,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,山發,古段,0
,美国中南日本,古段,,,,,,,,,,,,,,,,,,,,,,,"19,990",,"21,220",,,,,,,,,"41,210",,美国中南日本,古段,"41,210"
,美国中南日本,E段,,,,,,,,,,,,,,"24,540","49,800",,"25,230","24,490",,"25,250",,,"25,500","25,500","25,240",,,,,,,25300,,"250,850",,美国中南日本,E段,"250,850"
